cake_crop_id,crop_file_name,shape,dominant_color,visual_style,lettering_type,board_lettering,border_type,cream_decoration,topping_decoration,character_type,text_presence,memo
4,_onyourday_1667207242_2961071421200629117_12861674625_cake_1.jpg,원형,화이트|브라운|블랙|핑크,러블리|캐릭터,중앙레터링,있음,크림테두리,하트|꽃,진주,사람,있음,케이크 중앙에 사람 얼굴 캐릭터와 글자가 있으며 붉은 하트 크림 데코와 진주장식이 있음.
5,_onyourday_1667294897_2961806726807664337_12861674625_cake_1.jpg,하트,화이트,레터링중심,중앙레터링,없음,없음,없음,없음,없음,있음,"하트형 케이크에 흰색 크림, 중앙에 다색상의 글자가 레터링되어 있음. 크림 데코와 토핑은 보이지 않음."
6,_onyourday_1667381361_2962532038948193892_12861674625_cake_1.jpg,하트,그린|옐로우|화이트,심플,중앙레터링,없음,없음,없음,진주,없음,있음,"하트 모양 케이크에 녹색, 노란색, 흰색 크림이 섞여 있고 진주 토핑이 있음. 글씨는 케이크 중앙에 흰색 글씨로 있음. 크림 장식은 뚜렷한 모양 없음."
7,_onyourday_1667466914_2963249708203170261_12861674625_cake_1.jpg,하트,판단불가,판단불가,중앙레터링,없음,없음,없음,없음,없음,있음,케이크 색이 붉은색으로 추정되나 선택지에 해당 색상이 없어 판단불가로 처리함
8,_onyourday_1667634022_2964651511566253430_12861674625_cake_1.jpg,원형,블루,캐릭터,중앙레터링,없음,없음,없음,없음,기타캐릭터,있음,"짱구 캐릭터 얼굴이 중심에 있고, 파란색 배경에 다양한 모양의 도형들이 장식되어 있음. 크림 데코나 보드 위 텍스트는 없음."
10,_onyourday_1667820802_2966218341714537793_12861674625_cake_1.jpg,하트,핑크,러블리,중앙레터링,없음,없음,없음,진주,없음,있음,하트 모양 케이크에 핑크색 광택 있고 흰색 글씨와 진주 모양 토핑이 있음. 테두리 크림 또는 꽃 없음. 텍스트 'Happy 100 days' 중앙에 위치함.
11,_onyourday_1667904128_2966917325412113926_12861674625_cake_1.jpg,원형,핑크|옐로우,캐릭터,중앙레터링,있음,없음,없음,없음,개,있음,"노란 강아지 캐릭터가 중앙에 있고, 핑크색 보드에 글자가 보임. 테두리는 크림 등으로 꾸미지 않음."
12,_onyourday_1667990691_2967643471347097456_12861674625_cake_1.jpg,하트,믹스,화려함,중앙레터링,없음,없음,없음,진주,없음,있음,하트 모양 케이크에 여러 색 크림이 섞여 있고 중앙에 흰색 레터링과 빨간 하트 장식이 있음. 흰색 작은 진주가 토핑으로 사용됨.
13,_onyourday_1668067537_2968288103182819330_12861674625_cake_1.jpg,원형,화이트,캐릭터|레터링중심,중앙레터링,없음,없음,없음,스프링클,사람,있음,케이크 중앙에 사람 캐릭터와 레터링이 있음. 테두리 장식 없음. 크림 데코는 캐릭터와 레터링 외에는 없음. 컬러는 전체적으로 하얀색 바탕.
14,_onyourday_1668162386_2969083755024892705_12861674625_cake_1.jpg,원형,블랙,화려함,없음,있음,크림테두리,없음,진주,없음,있음,"케이크 모양은 원형이며 전체적으로 검은색 크림으로 덮인 화려한 스타일임. 케이크 테두리는 크림 테두리로 장식되어 있고, 진주로 된 장식물이 있음. 케이크 위에 반짝이는 왕관 모양 장식이 있음. 케이크 받침에는 문구 스티커가 있음."
17,_onyourday_1668585923_2972636639693196911_12861674625_cake_1.jpg,원형,블루|브라운|화이트,심플,중앙레터링,없음,없음,없음,없음,없음,있음,상단에 흰색 크림 글씨로 레터링이 있으며 배경이 파도와 모래를 형상화한 심플한 스타일임.
18,_onyourday_1668673808_2973373870124952500_12861674625_cake_1.jpg,원형,화이트,러블리|레터링중심,판단불가,있음,없음,리본|꽃,없음,곰,있음,"다양한 색상으로 다채로운 레터링과 하트, 리본, 꽃 크림 장식, 곰인형 토퍼가 있음. 레터링 타입은 여러 방향과 겹침으로 판단불가."
19,_onyourday_1668766391_2974150515587788020_12861674625_cake_1.jpg,하트,블루|화이트|믹스,심플,중앙레터링,없음,크림테두리,없음,스프링클|과일,없음,있음,"하트 모양 케이크이며, 파란색 위에 흰색 크림과 무지개색 스프링클, 빨간색 체리가 올려져 있음. 중앙에 글자가 직접 케이크 표면에 쓰여 있음."
20,_onyourday_1668851131_2974861362472836171_12861674625_cake_1.jpg,하트,화이트|핑크|블루|옐로우|그린|퍼플|브라운,레터링중심|심플,꽉찬레터링,없음,없음,없음,스프링클,없음,있음,하트형 흰색 케이크 위에 다채로운 색상의 레터링과 스프링클 장식이 있음. 보드 레터링이나 크림 테두리는 없음.
21,_onyourday_1669025488_2976323974627484444_12861674625_cake_1.jpg,원형,블루|블랙|화이트|핑크|옐로우|브라운|그린,캐릭터|화려함,중앙레터링,있음,없음,하트,스프링클,사람,있음,"인물 캐릭터가 중앙에 그려져 있고, 주변에 글자와 하트 풍선 형태의 데코, 스프링클 장식이 있음. 전체적으로 화려한 느낌이며 글자가 존재함."
23,_onyourday_1669204494_2977825587007522340_12861674625_cake_1.jpg,하트,화이트,러블리,중앙레터링,없음,없음,하트,스프링클,토끼|곰,있음,"하트 모양의 흰색 케이크에 분홍색 중앙 레터링, 하트 모양 크림 장식과 컬러풀한 스프링클, 토끼 및 곰 캐릭터가 있음"
24,_onyourday_1669378844_2979288140258705327_12861674625_cake_1.jpg,하트,퍼플,심플,중앙레터링,없음,크림테두리,하트,없음,없음,있음,보라색 하트 모양 케이크 테두리에 크림 동글 동글한 장식이 있고 중앙에 하트 모양 글자가 있음.
26,_onyourday_1669626500_2981365633565566365_12861674625_cake_1.jpg,하트,화이트,심플,중앙레터링,없음,크림테두리,하트,없음,없음,있음,빨간 글씨가 중앙에 'Happy Hyun's day'라고 적혀 있음
28,_onyourday_1669798607_2982809371680670625_12861674625_cake_1.jpg,원형,화이트|옐로우|핑크|블랙,캐릭터,중앙레터링,없음,없음,하트,없음,곰,있음,"케이크 본체는 원형이며, 흰색 크림 바탕에 노란색과 빨간색이 주된 색상임. 캐릭터 스타일이며 중앙에 곰 캐릭터가 그려져 있음. 메시지 레터링이 중앙 곰 캐릭터 위에 검정색으로 쓰여 있음. 보드 레터링은 보이지 않으며 테두리는 크림 장식 없이 심플함. 하트 모양 크림 장식이 있음."
29,_onyourday_1670230774_2986434649891878544_12861674625_cake_1.jpg,판단불가,화이트|브라운|그린|핑크,화려함|판단불가,판단불가,있음,크림테두리,꽃|하트,판단불가,사람,있음,케이크가 집 모양이고 장식이 많음. 산타 인형과 글자가 있어 캐릭터와 텍스트가 있음. 전체 모양이 정확히 원형 등으로 보이지 않음.
33,_onyourday_1670231232_2986438490196599056_12861674625_cake_1.jpg,원형,핑크,화려함,중앙레터링,없음,없음,꽃,판단불가,곰,있음,"곰 모양 초콜릿 캔들 장식이 있고, 'merry christmas' 글자가 중앙에 큼직하게 있음. 크림 테두리 없음. 과일이나 진주 등 토핑은 명확하지 않음."
34,_onyourday_1670231232_2986438490205053421_12861674625_cake_1.jpg,원형,화이트|핑크,심플|러블리,중앙레터링,있음,크림테두리,없음,없음,없음,있음,"원형 화이트 크림 케이크에 분홍색 레터링 중앙에 위치, 크림 테두리 있다. 상단에 크리스마스 장식 및 리본 보이지만 크림 데코와는 다름."
35,_onyourday_1670231232_2986438490205168858_12861674625_cake_1.jpg,원형,핑크|화이트|그린|옐로우,화려함|캐릭터,중앙레터링,있음,없음,꽃,진주,곰,있음,"곰 모양 초 장식과 노란색 레터링, 다양한 색 크림 장식으로 화려한 스타일임. 케이크 모양은 원형이며 보드에 글자가 있음."
36,_onyourday_1670231232_2986438490297249954_12861674625_cake_1.jpg,하트,핑크|그린,심플,중앙레터링,없음,없음,없음,없음,없음,있음,"빨간색과 초록색 레터링이 있는 하트모양 케이크이며, 크림 장식과 보더는 없음. 문자 있음."
38,_onyourday_1670582244_2989382994363937296_12861674625_cake_1.jpg,하트,핑크|화이트,러블리,중앙레터링,없음,없음,없음,없음,없음,있음,하트 모양의 케이크이며 핑크와 흰색 크림이 사용됨. 크림 테두리나 데코레이션은 없고 중앙에 레터링 있음. 사진에서 다른 데코 요소 및 경계선은 확인되지 않음.
42,_onyourday_1670827089_2991436899381766694_12861674625_cake_1.jpg,원형,화이트,심플,없음,있음,없음,없음,반짝이,없음,있음,"케이크 표면에 글자는 없고, 위 장식판에 문자 있음. 크림 위 반짝이 점들이 꾸밈 요소임."
43,_onyourday_1670921702_2992230572202921207_12861674625_cake_1.jpg,원형,화이트,캐릭터,중앙레터링,없음,없음,없음,진주,토끼,있음,토끼 캐릭터가 중앙에 있고 문구가 케이크 표면에 크림으로 쓰여 있음. 주변에 작은 진주 모양 장식이 있음.
44,_onyourday_1671007821_2992952990492143586_12861674625_cake_1.jpg,하트,판단불가,판단불가,중앙레터링,없음,없음,없음,없음,없음,있음,케이크 색상은 사진 조명 때문에 정확한 판단이 어려움. 케이크 표면이 광택이 있는 레드 색상으로 보임.
45,_onyourday_1671101737_2993740816115464525_12861674625_cake_1.jpg,원형,화이트|핑크|그린,러블리,중앙레터링,없음,크림테두리,꽃,진주,없음,있음,"분홍 장미 크림 장식과 진주 모양 데코가 있고, 흰색 케이크에 중앙에 글자가 있으며 원형 모양임."
46,_onyourday_1671264860_2995109188058474072_12861674625_cake_1.jpg,원형,화이트|브라운|그린|믹스,화려함,중앙레터링,있음,크림테두리,하트|꽃,과일|반짝이,기타캐릭터,있음,"흰색과 빨간색 크림을 사용한 원형 케이크로, 다양한 크리스마스 장식과 글씨가 있음. 케이크 위에 미니어처 산타, 선물, 눈사람 인형 있음."
47,_onyourday_1671505347_2997126540344923904_12861674625_cake_1.jpg,원형,화이트|브라운,화려함,중앙레터링,없음,크림테두리,없음,판단불가,판단불가,있음,케이크 테두리는 크림 타입이며 상단 흰 크림과 측면 붉은색으로 구성됨. 중간에 중앙레터링이 붉은색 크림으로 쓰여있음. 장식 대부분이 미니어처 및 다소 판단 불가함.
48,_onyourday_1671607720_2997985312831403490_12861674625_cake_1.jpg,원형,화이트|옐로우,화려함,중앙레터링,있음,크림테두리,없음,스프링클,토끼,있음,"여러 가지 토핑 장식과 다채로운 색상, 글자가 중앙에 있으며, 토끼 캐릭터가 있음"
52,_onyourday_1672134335_3002402871715713357_12861674625_cake_1.jpg,하트,블랙,레터링중심,중앙레터링,없음,없음,없음,없음,없음,있음,"검은색 하트 모양 케이크에 분홍색 레터링 있음. 크림 장식, 테두리, 토핑 장식 없음."
